,FIELD1,prediction_id,feature1,feature2,feature3,feature4,prediction_scores,actual_scores,prediction_ts
0,0,57437c5d-0cd2-48bf-aa91-379302fd0fe4,40,96,42,88,"[{'class_name': 'first_class', 'score': 0.5044088627000001}
 {'class_name': 'business_class', 'score': 0.3688503145}
 {'class_name': 'economy_class', 'score': 0.1267408228}]","[{'class_name': 'first_class', 'score': 1.0}]",1749146179
1,1,518880f9-55d2-43af-87a1-77b89c8ffa05,79,90,34,22,"[{'class_name': 'first_class', 'score': 0.350681868}
 {'class_name': 'business_class', 'score': 0.001048163}
 {'class_name': 'economy_class', 'score': 0.648269969}]","[{'class_name': 'business_class', 'score': 1.0}]",1749172361
2,2,355da8b0-8343-4be9-b9b9-72b8b4aafbe1,90,41,67,83,"[{'class_name': 'first_class', 'score': 0.013206122}
 {'class_name': 'business_class', 'score': 0.4598026416}
 {'class_name': 'economy_class', 'score': 0.5269912364}]","[{'class_name': 'business_class', 'score': 1.0}]",1749198543
3,3,806ea4b9-3c6a-48ff-a092-d62886f31415,1,20,77,11,"[{'class_name': 'first_class', 'score': 0.8000057316}
 {'class_name': 'business_class', 'score': 0.1510401292}
 {'class_name': 'economy_class', 'score': 0.048954139300000005}]","[{'class_name': 'business_class', 'score': 1.0}]",1749224725
4,4,1696bef7-8da7-432a-9999-a6ddf44b3c01,56,75,56,13,"[{'class_name': 'first_class', 'score': 0.3092817529}
 {'class_name': 'business_class', 'score': 0.0025214437}
 {'class_name': 'economy_class', 'score': 0.6881968033}]","[{'class_name': 'economy_class', 'score': 1.0}]",1749250907
5,5,aec5e457-ac78-4e51-b864-bc9cc10ffa72,90,8,78,88,"[{'class_name': 'first_class', 'score': 0.8694173329}
 {'class_name': 'business_class', 'score': 0.0434712618}
 {'class_name': 'economy_class', 'score': 0.0871114053}]","[{'class_name': 'first_class', 'score': 1.0}]",1749277089
6,6,389b57e5-4ab3-4f37-afaf-8380e053ea21,24,27,4,8,"[{'class_name': 'first_class', 'score': 0.5370025559}
 {'class_name': 'business_class', 'score': 0.4586832104}
 {'class_name': 'economy_class', 'score': 0.0043142337000000005}]","[{'class_name': 'business_class', 'score': 1.0}]",1749303270
7,7,3cd93a8f-7e73-48c4-958a-80dd22f165e6,32,31,25,37,"[{'class_name': 'first_class', 'score': 0.2063128435}
 {'class_name': 'business_class', 'score': 0.0582262248}
 {'class_name': 'economy_class', 'score': 0.7354609317}]","[{'class_name': 'first_class', 'score': 1.0}]",1749329452
8,8,7591614c-4b03-47f2-9cbe-ef7525a219c7,50,66,96,84,"[{'class_name': 'first_class', 'score': 0.1331221179}
 {'class_name': 'business_class', 'score': 0.1338572542}
 {'class_name': 'economy_class', 'score': 0.7330206279}]","[{'class_name': 'economy_class', 'score': 1.0}]",1749355634
9,9,d7195bdc-1410-45d9-9830-1e215600bd94,94,79,42,47,"[{'class_name': 'first_class', 'score': 0.5949676626}
 {'class_name': 'business_class', 'score': 0.32673105890000004}
 {'class_name': 'economy_class', 'score': 0.07830127840000001}]","[{'class_name': 'first_class', 'score': 1.0}]",1749381816
